epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,210.614,1.1004,7.04743,0.00758,0.01094,0.18916,0.03728,0.02874,0.9617,7.21101,0.00399,0.00027,0.00027,0.00027
2,404.35,0.98163,6.27904,0.00682,0.00738,0.47645,0.07734,0.0597,0.95813,6.8437,0.00423,0.000544555,0.000544555,0.000544555
3,613.809,0.98017,5.20392,0.00659,0.19501,0.3497,0.20807,0.14351,1.00109,6.1923,0.00524,0.000813566,0.000813566,0.000813566
4,817.827,0.9728,4.88818,0.00684,0.44222,0.09813,0.25064,0.16982,0.90574,5.44689,0.00413,0.0009703,0.0009703,0.0009703
5,1030.15,0.98731,4.4329,0.00646,0.39578,0.15457,0.32238,0.2219,1.06219,4.89675,0.00482,0.0009604,0.0009604,0.0009604
6,1233.34,1.00002,3.74758,0.00653,0.53141,0.37679,0.44534,0.29865,1.17895,4.26116,0.00616,0.0009505,0.0009505,0.0009505
7,1433.92,1.00518,3.44396,0.00677,0.50938,0.32598,0.40558,0.28398,1.02833,4.21999,0.0051,0.0009406,0.0009406,0.0009406
8,1624.08,0.93185,3.155,0.00642,0.43408,0.45862,0.4699,0.32146,1.06878,3.61958,0.00543,0.0009307,0.0009307,0.0009307
9,1826.61,0.89613,3.02808,0.00625,0.52,0.41875,0.49232,0.31726,1.13252,3.46969,0.00582,0.0009208,0.0009208,0.0009208
10,2017.98,0.8861,2.76768,0.00588,0.4564,0.58373,0.51749,0.37993,0.99194,3.14335,0.00485,0.0009109,0.0009109,0.0009109
11,2216,0.90478,2.60935,0.00657,0.4339,0.53782,0.51319,0.3392,1.14219,3.01672,0.00631,0.000901,0.000901,0.000901
12,2410.29,0.92287,2.37156,0.00647,0.52759,0.55386,0.61128,0.41086,1.01649,2.82776,0.0048,0.0008911,0.0008911,0.0008911
13,2602.51,0.96623,2.28568,0.00608,0.64497,0.54264,0.6281,0.41808,1.18523,2.6337,0.00618,0.0008812,0.0008812,0.0008812
14,2796.09,0.90868,2.13437,0.00612,0.53833,0.57485,0.63788,0.46272,0.91889,2.44542,0.00468,0.0008713,0.0008713,0.0008713
15,2983.15,0.81452,1.88944,0.00574,0.54227,0.52799,0.59021,0.41929,1.0461,2.34572,0.00551,0.0008614,0.0008614,0.0008614
16,3171.79,0.83281,1.79301,0.00562,0.53371,0.61025,0.64778,0.47323,1.00386,2.33799,0.00504,0.0008515,0.0008515,0.0008515
17,3361.6,0.87194,1.76487,0.00633,0.58038,0.58039,0.66878,0.48112,1.05969,2.07219,0.00572,0.0008416,0.0008416,0.0008416
18,3550.21,0.7972,1.52235,0.00562,0.50353,0.65383,0.63642,0.44691,1.00537,2.13228,0.00535,0.0008317,0.0008317,0.0008317
19,3737.85,0.81963,1.45334,0.00588,0.52735,0.63212,0.64707,0.43623,1.13312,2.06222,0.00607,0.0008218,0.0008218,0.0008218
20,3923.59,0.76045,1.32156,0.00502,0.511,0.65734,0.64661,0.44238,1.04716,1.98091,0.00531,0.0008119,0.0008119,0.0008119
21,4111.42,0.77675,1.29557,0.00532,0.60421,0.65301,0.69599,0.5,0.94935,1.76132,0.00474,0.000802,0.000802,0.000802
22,4301.56,0.76343,1.20628,0.00524,0.57423,0.68397,0.65559,0.46375,1.0314,1.7975,0.00506,0.0007921,0.0007921,0.0007921
23,4491.36,0.7442,1.12937,0.00523,0.59507,0.55974,0.65316,0.44825,0.99385,1.78368,0.00472,0.0007822,0.0007822,0.0007822
24,4680.17,0.75856,1.10396,0.00475,0.6038,0.66076,0.70536,0.50665,0.98326,1.6499,0.00481,0.0007723,0.0007723,0.0007723
25,4872.73,0.75663,1.05568,0.00479,0.58079,0.63733,0.7003,0.47939,1.07063,1.75649,0.0051,0.0007624,0.0007624,0.0007624
26,5062.62,0.80507,1.04318,0.00521,0.61492,0.69357,0.72152,0.48874,1.06864,1.57843,0.00522,0.0007525,0.0007525,0.0007525
27,5250.46,0.72719,1.00283,0.00509,0.61468,0.69432,0.72813,0.53364,0.96319,1.4735,0.00476,0.0007426,0.0007426,0.0007426
28,5440.3,0.69762,0.93401,0.00489,0.76512,0.57151,0.71749,0.52547,1.05615,1.52636,0.00537,0.0007327,0.0007327,0.0007327
29,5630.76,0.70306,0.90019,0.00479,0.76929,0.59691,0.72682,0.52192,0.99551,1.47872,0.0048,0.0007228,0.0007228,0.0007228
30,5818.46,0.73674,0.88254,0.00495,0.82107,0.55686,0.7485,0.52948,1.04084,1.42625,0.00504,0.0007129,0.0007129,0.0007129
31,6010,0.72159,0.83042,0.00457,0.91657,0.52681,0.766,0.54026,1.01611,1.273,0.00514,0.000703,0.000703,0.000703
32,6199.69,0.73497,0.83098,0.00512,0.64295,0.6971,0.73442,0.54358,0.95431,1.42669,0.00498,0.0006931,0.0006931,0.0006931
33,6391.32,0.69182,0.80289,0.00452,0.82834,0.56155,0.7448,0.53217,1.01802,1.33301,0.00513,0.0006832,0.0006832,0.0006832
34,6580.4,0.66918,0.76472,0.00438,0.62975,0.67155,0.71795,0.50877,0.97796,1.29708,0.00453,0.0006733,0.0006733,0.0006733
35,6768.22,0.62415,0.71148,0.00453,0.74767,0.60456,0.72335,0.52909,0.98602,1.2208,0.00476,0.0006634,0.0006634,0.0006634
36,6958.11,0.70745,0.74549,0.00477,0.66555,0.60476,0.71794,0.51194,0.99687,1.32535,0.00502,0.0006535,0.0006535,0.0006535
37,7146.7,0.68736,0.70123,0.00504,0.72232,0.65588,0.75399,0.54292,0.99791,1.31628,0.00518,0.0006436,0.0006436,0.0006436
38,7339.01,0.65494,0.69059,0.00437,0.69256,0.68918,0.76354,0.53982,1.04197,1.18275,0.00476,0.0006337,0.0006337,0.0006337
39,7526.97,0.69353,0.68577,0.00455,0.72292,0.64592,0.7536,0.55397,0.91741,1.1495,0.00439,0.0006238,0.0006238,0.0006238
40,7716.67,0.62954,0.61959,0.00417,0.72127,0.70701,0.79196,0.56443,0.91761,1.07856,0.00439,0.0006139,0.0006139,0.0006139
41,7907.08,0.67394,0.64991,0.00421,0.72717,0.73563,0.8044,0.59121,0.94755,1.02929,0.00457,0.000604,0.000604,0.000604
42,8096.31,0.62767,0.63152,0.0042,0.83864,0.63346,0.80648,0.56973,1.00398,1.05755,0.00504,0.0005941,0.0005941,0.0005941
43,8283.83,0.59186,0.61452,0.00369,0.7662,0.6274,0.77795,0.54875,0.94027,1.15233,0.00447,0.0005842,0.0005842,0.0005842
44,8475.07,0.61933,0.60077,0.00384,0.80016,0.57538,0.76847,0.55906,1.01675,1.24593,0.00466,0.0005743,0.0005743,0.0005743
45,8667.17,0.61942,0.59021,0.00389,0.64292,0.7,0.76529,0.57271,0.88948,1.29461,0.00432,0.0005644,0.0005644,0.0005644
46,8857.4,0.61098,0.55685,0.00364,0.79749,0.64657,0.74672,0.55356,0.92168,1.30405,0.00437,0.0005545,0.0005545,0.0005545
47,9047.14,0.5822,0.56028,0.00369,0.76844,0.62998,0.7295,0.53563,0.92656,1.20758,0.00432,0.0005446,0.0005446,0.0005446
48,9237.41,0.58421,0.54543,0.00393,0.76665,0.58637,0.72519,0.55658,0.94975,1.2083,0.00462,0.0005347,0.0005347,0.0005347
49,9427.14,0.59146,0.52514,0.00382,0.76768,0.67809,0.7472,0.54427,0.98285,1.20244,0.00482,0.0005248,0.0005248,0.0005248
50,9615.37,0.57743,0.52715,0.004,0.83142,0.62835,0.76009,0.57602,0.98041,1.13592,0.0047,0.0005149,0.0005149,0.0005149
51,9804.61,0.53785,0.48132,0.00334,0.66699,0.73029,0.76991,0.56248,0.9741,1.12597,0.00454,0.000505,0.000505,0.000505
52,9996.04,0.56265,0.53374,0.00355,0.75747,0.6729,0.7855,0.59845,0.94077,1.18654,0.00444,0.0004951,0.0004951,0.0004951
53,10184.7,0.55046,0.50336,0.00337,0.7987,0.6721,0.79887,0.58992,0.94763,1.07356,0.00452,0.0004852,0.0004852,0.0004852
54,10373,0.56752,0.50463,0.0033,0.69639,0.68809,0.78117,0.57844,0.96227,1.06568,0.00457,0.0004753,0.0004753,0.0004753
55,10560.6,0.52822,0.47823,0.00322,0.72569,0.70449,0.77125,0.56831,0.99814,1.06307,0.00479,0.0004654,0.0004654,0.0004654
56,10749.8,0.53812,0.50122,0.00358,0.70779,0.68502,0.77848,0.57328,0.91946,1.02483,0.00426,0.0004555,0.0004555,0.0004555
57,10940,0.5381,0.49537,0.00338,0.73394,0.70229,0.78749,0.58961,0.93064,0.97483,0.00446,0.0004456,0.0004456,0.0004456
58,11128.3,0.52459,0.4716,0.00332,0.74001,0.69105,0.77754,0.58019,0.8909,0.98601,0.00414,0.0004357,0.0004357,0.0004357
59,11318,0.51165,0.45627,0.00306,0.75217,0.68664,0.77944,0.58403,0.8938,0.97474,0.00413,0.0004258,0.0004258,0.0004258
60,11505.3,0.51408,0.46978,0.00306,0.71616,0.72386,0.78342,0.58634,0.91777,0.98676,0.00449,0.0004159,0.0004159,0.0004159
61,11698,0.50343,0.45365,0.0033,0.82885,0.68204,0.80505,0.59537,0.9283,0.91289,0.0044,0.000406,0.000406,0.000406
62,11887.4,0.52393,0.4421,0.00311,0.79943,0.69813,0.81245,0.61701,0.88847,0.86816,0.00422,0.0003961,0.0003961,0.0003961
63,12077.1,0.4825,0.42183,0.00316,0.71402,0.7441,0.80719,0.59436,0.93379,0.91114,0.0044,0.0003862,0.0003862,0.0003862
64,12266.7,0.52883,0.42485,0.00346,0.76761,0.69041,0.81009,0.6035,0.93432,0.98612,0.0045,0.0003763,0.0003763,0.0003763
65,12457.4,0.52766,0.43342,0.0034,0.7545,0.70096,0.79675,0.6001,0.9646,1.01147,0.00477,0.0003664,0.0003664,0.0003664
66,12647.4,0.49916,0.43309,0.00303,0.75477,0.72876,0.79271,0.58583,0.88423,1.02322,0.00416,0.0003565,0.0003565,0.0003565
67,12836.8,0.47503,0.41548,0.00292,0.84463,0.65468,0.80764,0.58569,0.92738,0.97766,0.00437,0.0003466,0.0003466,0.0003466
68,13025.5,0.47808,0.46134,0.00303,0.70718,0.77862,0.80899,0.59879,0.90779,0.96544,0.00445,0.0003367,0.0003367,0.0003367
69,13217.2,0.47182,0.40446,0.00304,0.75182,0.73278,0.81478,0.60769,0.92535,0.94703,0.00451,0.0003268,0.0003268,0.0003268
70,13407.2,0.48885,0.42453,0.00311,0.77075,0.75603,0.81947,0.61023,0.89733,0.92285,0.00429,0.0003169,0.0003169,0.0003169
