epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.0553,1.13364,3.72459,1.18499,0.01565,0.1951,0.05418,0.0424,1.40388,4.48799,0.92424,0.00027,0.00027,0.00027
2,38.3293,1.02187,2.74041,1.08787,0.00979,0.34447,0.11094,0.07053,1.22679,4.24479,0.87628,0.000544555,0.000544555,0.000544555
3,45.5414,0.95232,2.25454,1.06428,0.79178,0.04902,0.1159,0.07831,1.26876,3.95581,0.90444,0.000813566,0.000813566,0.000813566
4,51.9668,0.94078,1.98185,1.05335,0.48853,0.14479,0.26743,0.19603,1.24331,3.20028,0.89427,0.0009703,0.0009703,0.0009703
5,60.0715,0.90612,1.73901,1.04244,0.53841,0.37702,0.46325,0.31238,1.35021,2.51478,0.93939,0.0009604,0.0009604,0.0009604
6,66.1064,0.88529,1.55695,1.02029,0.60455,0.3816,0.50616,0.33963,1.34136,2.27187,0.98561,0.0009505,0.0009505,0.0009505
7,73.2667,0.85734,1.49181,1.01383,0.57965,0.6388,0.67874,0.46376,1.3297,1.75556,0.98416,0.0009406,0.0009406,0.0009406
8,79.2974,0.80021,1.3609,0.99595,0.71592,0.54755,0.69334,0.49457,1.20895,1.66859,0.91637,0.0009307,0.0009307,0.0009307
9,86.5911,0.82232,1.26767,0.98261,0.74751,0.55062,0.64727,0.45434,1.15706,1.80107,0.90577,0.0009208,0.0009208,0.0009208
10,92.7545,0.80536,1.18176,0.99201,0.73786,0.46606,0.61963,0.42633,1.2215,1.76855,0.94623,0.0009109,0.0009109,0.0009109
11,99.8917,0.73381,1.0998,0.97101,0.71306,0.51025,0.6442,0.45529,1.15288,1.71442,0.90571,0.000901,0.000901,0.000901
12,106.02,0.73452,1.07555,0.97669,0.68294,0.61126,0.72144,0.51587,1.10845,1.36629,0.89665,0.0008911,0.0008911,0.0008911
13,113.294,0.7655,1.02333,0.97304,0.64113,0.58345,0.67111,0.47528,1.1829,1.45647,0.91641,0.0008812,0.0008812,0.0008812
14,119.41,0.75342,1.01423,0.96364,0.62997,0.75523,0.78401,0.52797,1.21918,1.27412,0.93474,0.0008713,0.0008713,0.0008713
15,126.734,0.75165,0.99139,0.97719,0.77779,0.58656,0.74632,0.50035,1.31529,1.47726,0.9493,0.0008614,0.0008614,0.0008614
16,132.889,0.7164,0.94429,0.94512,0.75584,0.61507,0.74255,0.51658,1.13706,1.3267,0.8922,0.0008515,0.0008515,0.0008515
17,140.106,0.68157,0.86174,0.94742,0.80494,0.62696,0.76218,0.54195,1.16181,1.56671,0.90635,0.0008416,0.0008416,0.0008416
18,146.572,0.71573,0.83913,0.94453,0.77544,0.71434,0.76889,0.56419,1.12005,1.45976,0.90813,0.0008317,0.0008317,0.0008317
19,153.533,0.64505,0.79439,0.93464,0.86257,0.63473,0.78462,0.55815,1.17854,1.32185,0.91319,0.0008218,0.0008218,0.0008218
20,159.863,0.66513,0.79999,0.9286,0.63063,0.77767,0.76435,0.54477,1.15401,1.32333,0.89478,0.0008119,0.0008119,0.0008119
21,166.7,0.64665,0.75856,0.93156,0.79235,0.61704,0.76636,0.55751,1.12545,1.30455,0.90071,0.000802,0.000802,0.000802
22,173.223,0.66481,0.74045,0.93193,0.73361,0.80949,0.8101,0.58351,1.12061,1.33172,0.90065,0.0007921,0.0007921,0.0007921
23,179.981,0.62991,0.69728,0.91982,0.73706,0.75058,0.82928,0.60596,1.08626,1.13114,0.89143,0.0007822,0.0007822,0.0007822
24,186.48,0.60495,0.67795,0.92451,0.77063,0.79886,0.84868,0.59166,1.11776,1.0365,0.89117,0.0007723,0.0007723,0.0007723
25,193.142,0.61114,0.6818,0.92148,0.80596,0.74827,0.84804,0.59711,1.11751,1.16217,0.8983,0.0007624,0.0007624,0.0007624
26,199.649,0.62502,0.68065,0.92258,0.82595,0.71856,0.86764,0.61953,1.14021,1.07351,0.89685,0.0007525,0.0007525,0.0007525
27,206.496,0.59142,0.62048,0.92221,0.82158,0.78143,0.87694,0.61691,1.12391,1.04387,0.89584,0.0007426,0.0007426,0.0007426
28,213.07,0.60283,0.64137,0.92984,0.72794,0.77638,0.83722,0.58599,1.10775,1.16627,0.88925,0.0007327,0.0007327,0.0007327
29,219.554,0.5941,0.62076,0.92014,0.86057,0.6843,0.82844,0.59617,1.12349,1.10817,0.89159,0.0007228,0.0007228,0.0007228
30,226.039,0.58107,0.59293,0.90417,0.7584,0.70654,0.80096,0.58114,1.0769,1.32489,0.87902,0.0007129,0.0007129,0.0007129
31,232.704,0.57582,0.57292,0.90041,0.76534,0.7259,0.81323,0.60774,1.04868,1.10887,0.87438,0.000703,0.000703,0.000703
32,239.61,0.6544,0.62608,0.9245,0.79408,0.78029,0.8516,0.6152,1.03029,1.10051,0.8691,0.0006931,0.0006931,0.0006931
33,247.303,0.5556,0.56733,0.90434,0.78996,0.7655,0.81506,0.60756,1.05297,1.15095,0.88395,0.0006832,0.0006832,0.0006832
34,253.636,0.54923,0.56637,0.9051,0.81518,0.76425,0.84043,0.61226,1.10475,1.13673,0.87777,0.0006733,0.0006733,0.0006733
35,260.569,0.5558,0.55268,0.9055,0.76494,0.75458,0.81682,0.60364,1.05335,1.07476,0.86978,0.0006634,0.0006634,0.0006634
36,267.088,0.56347,0.55663,0.91271,0.81599,0.76889,0.83493,0.61678,1.05143,1.14205,0.87445,0.0006535,0.0006535,0.0006535
37,274.035,0.52626,0.52898,0.89676,0.8237,0.78952,0.85528,0.61788,1.14836,1.05974,0.89486,0.0006436,0.0006436,0.0006436
38,280.665,0.53139,0.52308,0.89519,0.8694,0.69988,0.82526,0.60481,1.09995,1.10872,0.88126,0.0006337,0.0006337,0.0006337
39,287.238,0.5197,0.52114,0.89362,0.7903,0.81826,0.88626,0.62524,1.12764,0.93392,0.88142,0.0006238,0.0006238,0.0006238
40,293.846,0.49631,0.4908,0.87852,0.7882,0.75562,0.87005,0.62997,1.05237,0.9694,0.86881,0.0006139,0.0006139,0.0006139
41,300.567,0.49908,0.497,0.88966,0.82729,0.76018,0.85028,0.61547,1.02943,1.03013,0.8744,0.000604,0.000604,0.000604
42,307.113,0.51008,0.4762,0.88871,0.84282,0.75584,0.83733,0.60634,0.98938,1.10335,0.86319,0.0005941,0.0005941,0.0005941
43,313.644,0.49476,0.46404,0.89211,0.81468,0.74398,0.84204,0.61484,1.00155,1.09954,0.85235,0.0005842,0.0005842,0.0005842
44,320.327,0.51163,0.48613,0.89221,0.84498,0.77252,0.86169,0.63349,1.03775,1.04288,0.87076,0.0005743,0.0005743,0.0005743
45,326.804,0.50063,0.47764,0.87943,0.81817,0.7615,0.85204,0.62498,1.04453,1.0427,0.88019,0.0005644,0.0005644,0.0005644
46,333.556,0.49261,0.46267,0.89205,0.78983,0.71303,0.83551,0.62128,0.99351,1.03383,0.86479,0.0005545,0.0005545,0.0005545
47,340.092,0.47842,0.47012,0.88597,0.85734,0.72996,0.85449,0.634,1.06004,1.16776,0.89298,0.0005446,0.0005446,0.0005446
48,347.064,0.47578,0.44216,0.87974,0.79173,0.77421,0.86146,0.63766,1.03508,0.98728,0.85606,0.0005347,0.0005347,0.0005347
49,353.462,0.45708,0.43462,0.869,0.77876,0.84116,0.87448,0.64634,1.0185,0.94776,0.85932,0.0005248,0.0005248,0.0005248
50,360.537,0.47151,0.43814,0.87456,0.8172,0.76383,0.85033,0.64225,1.04446,0.98214,0.86376,0.0005149,0.0005149,0.0005149
51,366.81,0.45904,0.43608,0.87086,0.89731,0.73317,0.8517,0.63496,1.00814,1.0109,0.86519,0.000505,0.000505,0.000505
52,373.889,0.45489,0.4348,0.87312,0.84278,0.78622,0.85446,0.63325,1.02351,0.97276,0.86454,0.0004951,0.0004951,0.0004951
53,379.982,0.44295,0.42146,0.86765,0.86604,0.72289,0.87542,0.64105,1.04928,1.07968,0.86562,0.0004852,0.0004852,0.0004852
54,387.373,0.45716,0.42379,0.87847,0.85773,0.76163,0.88694,0.6304,1.12305,0.96235,0.89106,0.0004753,0.0004753,0.0004753
55,393.541,0.45768,0.41031,0.87283,0.80377,0.81032,0.88919,0.65046,1.05351,0.90355,0.86283,0.0004654,0.0004654,0.0004654
56,400.814,0.43976,0.39943,0.87335,0.82115,0.7481,0.84743,0.63416,1.05084,1.00257,0.86928,0.0004555,0.0004555,0.0004555
57,407.025,0.41542,0.39306,0.86381,0.81212,0.78288,0.85245,0.63886,1.02577,0.99581,0.86416,0.0004456,0.0004456,0.0004456
58,414.375,0.42671,0.39446,0.8655,0.86542,0.77422,0.88957,0.6509,1.02589,0.89662,0.85855,0.0004357,0.0004357,0.0004357
59,420.53,0.42913,0.39721,0.86848,0.84932,0.81104,0.88765,0.66078,1.01749,0.91258,0.85601,0.0004258,0.0004258,0.0004258
60,428.748,0.4259,0.39351,0.86424,0.79403,0.80907,0.87437,0.64958,1.03168,1.06699,0.8613,0.0004159,0.0004159,0.0004159
61,435.208,0.43095,0.40029,0.87572,0.82805,0.8078,0.87554,0.64688,1.01611,0.95098,0.85845,0.000406,0.000406,0.000406
